,total_num,average_revenue,rating,voting_total
Ethan Coen,8.0,604467672.0,6.960638879772454,9141.0
Rawson Marshall Thurber,3.0,597688972.0,6.518258076030697,5603.0
Stephen Sommers,4.0,597185317.0,5.822089825847845,4364.0
Nathan Greno,1.0,591794936.0,7.4,3330.0
David Frankel,4.0,586362906.0,6.834313923030424,4963.0
Betty Thomas,4.0,583157747.0,5.438819026790596,1829.0
Adam Shankman,7.0,582144160.0,6.247915762049501,4606.0
Brian De Palma,12.0,581720751.0,7.1704587155963315,8720.0
Walt Becker,4.0,577875773.0,5.7208022388059705,2144.0
Frank Coraci,7.0,576799381.0,5.926450718863676,5773.0
Paul Feig,4.0,574705212.0,6.014511388684791,5444.0
Richard Marquand,1.0,572700000.0,7.9,4665.0
Sam Taylor-Johnson,2.0,571006128.0,5.339508290451686,3498.0
Anne Fletcher,5.0,568373124.0,6.323486276974649,4773.0
Rob Reiner,11.0,566797477.0,7.302331306110627,6906.0
Joseph Kosinski,2.0,566231335.0,6.362819002748331,7641.0
Wes Craven,11.0,562851648.0,6.427518427518428,6512.0
Alex Proyas,5.0,562562458.0,6.461209068010075,8337.0
Robert Schwentke,6.0,560415622.0,6.185835150457916,11465.0
Brad Lewis,1.0,559852396.0,5.8,2033.0
David O. Russell,8.0,558364027.0,6.7868380594465325,11708.0
Jonathan Mostow,4.0,557270331.0,5.953302373581011,3876.0
John Madden,5.0,554881479.0,6.58895800933126,1929.0
Duncan Jones,3.0,553769984.0,6.96431001331164,6761.0
Mark Andrews,1.0,538983207.0,6.7,4641.0
Steve Purcell,1.0,538983207.0,6.7,4641.0
Robert Luketic,6.0,535786764.0,6.151193343551566,4567.0
David Hand,3.0,533346213.0,6.924691058880543,4127.0
Mark Waters,6.0,532753525.0,6.4392539621182845,5174.0
Jonathan Demme,5.0,530527326.0,7.829935140528853,6013.0
Baz Luhrmann,4.0,530106616.0,7.105464480874318,7137.0
Peter Segal,7.0,529836706.0,6.219704153233454,5273.0
Simon J. Smith,2.0,529146671.0,6.127810885975368,2517.0
David Silverman,1.0,527068851.0,6.9,2264.0
Neill Blomkamp,3.0,522359859.0,6.76994839623596,9883.0
Alessandro Carloni,1.0,521170825.0,6.7,1603.0
F. Gary Gray,8.0,518827415.0,6.934731465717381,6461.0
Len Wiseman,3.0,518580722.0,6.481970957741883,6129.0
Lee Tamahori,5.0,518164116.0,5.790685142417244,2598.0
Joe Johnston,4.0,514454033.0,6.349274346912221,9991.0
Steve Carr,5.0,513097658.0,5.04969650986343,2636.0
Nicholas Stoller,5.0,513028443.0,6.035582917705736,6416.0
Adrian Lyne,4.0,503940602.0,6.241108986615679,1046.0
Jaume Collet-Serra,6.0,497620771.0,6.445748839482043,8186.0
Rupert Wyatt,2.0,497031315.0,6.855644171779141,4890.0
Judd Apatow,5.0,492839316.0,6.008103813559322,5664.0
Matthew Vaughn,4.0,492723267.0,7.095168121704555,11569.0
Guy Hamilton,6.0,485980445.0,6.652449888641424,2694.0
Lewis Gilbert,3.0,483831559.0,6.326535782140596,1579.0
Antoine Fuqua,8.0,472013120.0,6.848606401455629,12091.0
Rich Moore,1.0,471222889.0,7.1,4570.0
David Zucker,6.0,470819787.0,6.136588167719701,3482.0
John Singleton,7.0,469910492.0,6.210755148741419,4370.0
Cameron Crowe,6.0,468691372.0,6.472328244274809,4716.0
Anthony Minghella,3.0,466788199.0,6.913192182410423,1842.0
Kevin Costner,3.0,466131375.0,7.223086496577474,1607.0
Woody Allen,22.0,466101038.0,6.955165671948961,9718.0
Joe Ranft,1.0,461983149.0,6.6,3877.0
Robert Wise,4.0,460547671.0,6.976780487804879,2050.0
Brian Levant,6.0,452087078.0,5.2392910634048935,2003.0
William Friedkin,6.0,450415589.0,7.22928055293748,3183.0
James Bobin,3.0,449937611.0,6.4627065302911095,2542.0
Darren Lynn Bousman,5.0,442342667.0,6.138893898406973,3327.0
Brad Silberling,4.0,439313189.0,5.985310449268047,1981.0
John Lee Hancock,4.0,439169892.0,7.16617308325107,3039.0
Kevin Lima,2.0,439099423.0,6.333541430192962,1762.0
